Data;ID AZ;Cow;Lattazione;GIM;Produz.;Grasso;Proteine;Urea;CN;BHB;SCC
01/10/2024;1639;IT015990553459;2;65;36,6;2,89;3,18;9,9;2,49;0,01;42
01/10/2024;1574;IT015990553394;2;233;23,8;4,45;3,73;20,3;3,02;0,03;40
01/10/2024;1407;IT015990520447;3;50;43,2;4,51;2,99;19,2;2,33;;37
01/10/2024;1295;IT015990490975;3;20;56,1;3;3,05;11;2,37;;31
01/10/2024;756;IT015990415686;5;50;50,1;5,24;2,97;19;2,34;0,04;30
01/10/2024;1079;IT015990451069;4;78;35,5;3,34;2,95;10,7;2,33;0,06;28
01/10/2024;1584;IT015990553404;2;46;42,8;3,11;2,96;20,5;2,32;0,08;27
01/10/2024;1575;IT015990553395;2;71;42,5;4,17;2,85;10,6;2,27;0,05;26
01/10/2024;1191;IT015990490871;3;130;36;4,15;3,45;18,6;2,75;;21
01/10/2024;1457;IT015990520497;2;293;29,9;4,38;3,87;15,7;3,15;0,03;19
01/10/2024;1453;IT015990520493;3;57;39,9;3,47;3,21;15,1;2,53;0,01;18
01/10/2024;1283;IT015990490963;3;82;39,6;4,11;2,73;15,3;2,14;0,04;18
01/10/2024;1099;IT015990451089;4;46;40,4;3,22;2,97;7,9;2,34;0,03;16
01/10/2024;1387;IT015990520427;3;29;46,3;5,28;2,69;20;2,06;;12
01/10/2024;1372;IT015990520412;3;37;47;3,58;2,85;9,4;2,27;0,05;10
01/10/2024;1208;IT015990490888;3;234;33,8;4,32;2,97;14,2;2,35;0,02;10
01/10/2024;1160;IT015990490840;3;22;43,5;3,55;2,9;14;2,25;;9
01/10/2024;1381;IT015990520421;3;72;38,9;2,72;3,1;13,5;2,44;0,03;9
01/10/2024;1644;IT015990553464;2;61;33;3,68;2,91;10,9;2,28;0,02;9
01/10/2024;807;IT015990415737;6;54;53,5;3,54;2,79;17,5;2,16;0,02;7
01/10/2024;1196;IT015990490876;3;163;43,1;3,13;2,89;15,9;2,29;0,05;6
01/10/2024;1263;IT015990490943;4;32;51,1;3,5;3,13;12,1;2,47;0,06;6
01/10/2024;1473;IT015990520513;2;287;31,8;4,36;3,93;15,9;3,16;0,05;8264
01/10/2024;1036;IT015990196171;9;293;18,2;3,9;4,07;13,1;3,18;0,08;4870
01/10/2024;797;IT015990415727;5;339;16,4;4,2;3,92;13,4;3,06;0,17;2248
01/10/2024;1239;IT015990490919;3;319;23;3,73;3,91;19,9;3,1;0,04;2086
01/10/2024;954;IT015990436924;4;453;16,1;4,91;4,05;20,1;3,23;0,02;1957
01/10/2024;1543;IT015990553363;3;21;37,9;3,74;3,37;14,2;2,68;;1482
01/10/2024;1556;IT015990553376;2;93;31,4;3,65;3,24;11,4;2,53;0,08;1247
01/10/2024;1376;IT015990520416;2;393;23,3;4,5;4,15;17,5;3,31;0,08;1230
01/10/2024;1268;IT015990490948;3;320;27,3;2,9;3,27;16,1;2,58;0,05;1171
01/10/2024;1063;IT015990451053;4;343;15,2;3,68;3,38;14,2;2,58;0,2;1037
01/10/2024;1548;IT015990553368;2;11;34,5;3,48;3,21;15;2,49;0,06;614
01/10/2024;877;IT015990436847;5;304;22,2;3,77;3,44;14,6;2,69;0,08;568
01/10/2024;1449;IT015990520489;3;28;41;3,63;2,85;12,2;2,25;0,12;527
01/10/2024;1458;IT015990520498;2;287;16,5;4,56;4,13;19,2;3,33;0,1;510
01/10/2024;1080;IT015990451070;3;288;31,9;3,8;3,28;9,6;2,61;0,03;500
01/10/2024;1105;IT015990451095;4;40;39,7;4,03;2,67;8,7;2,06;;402
01/10/2024;1471;IT015990520511;2;344;22,9;4,27;3,52;16,6;2,81;0,07;377
01/10/2024;584;IT015990370624;6;312;17,7;5,17;3,84;19,2;3,13;;310
01/10/2024;930;IT015990436900;4;309;16,3;3,98;3,99;16,4;3,2;;288
01/10/2024;1137;IT015990490817;4;80;38,8;3,63;2,88;12,3;2,27;0,04;270
01/10/2024;1309;IT015990490989;3;234;32,7;4,14;3,5;20,3;2,77;0,04;257
01/10/2024;1422;IT015990520462;2;281;19;3,85;3,65;9,7;2,91;0,08;248
01/10/2024;250;IT015990315376;9;7;26,4;3,51;4,17;10,8;3,26;0,03;223
01/10/2024;1090;IT015990451080;4;213;24,9;3,62;3,52;14,5;2,8;0,02;194
01/10/2024;1249;IT015990490929;3;296;29,5;3,06;3,42;18,7;2,71;0,05;181
01/10/2024;985;IT015990436955;4;6;28,4;5,83;3,68;19,2;2,87;0,17;180
01/10/2024;1322;IT015990491002;3;260;22,5;3,92;3,54;15,2;2,83;0,02;163
01/10/2024;1734;IT015990581494;2;6;25,9;3,75;4,36;12,3;3,42;0,07;159
01/10/2024;1086;IT015990451076;4;60;41,5;2,73;2,34;15,7;1,81;;156
01/10/2024;1280;IT015990490960;3;26;34,2;2,95;3,09;11,2;2,4;;139
01/10/2024;1552;IT015990553372;2;246;28,4;4,51;3,83;17,6;3,06;;134
01/10/2024;1064;IT015990451054;4;309;23;4,3;3,74;12,4;2,99;0,04;123
01/10/2024;1677;IT015990553497;2;135;29,3;3,84;3,68;13,8;2,95;;105
01/10/2024;1490;IT015990520530;2;189;25,7;3,64;3,63;13,3;2,85;0,02;103
01/10/2024;2273;IT015990490953;3;324;23,5;3,55;3,35;12,9;2,63;0,07;98
01/10/2024;831;IT015990415761;5;348;24,1;3,57;3,44;7,6;2,72;0,08;88
01/10/2024;1366;IT015990520406;2;443;27,6;5,24;4,05;19,7;3,31;0,02;83
01/10/2024;1369;IT015990520409;3;30;44;3,44;2,75;13,7;2,13;0,05;81
01/10/2024;1426;IT015990520466;3;32;46,1;2,76;2,75;20,3;2,11;;81
01/10/2024;887;IT015990436857;5;17;42,5;4,11;3,02;13,2;2,32;0,02;78
01/10/2024;693;IT015990415623;6;45;48,4;3,98;2,77;11,7;2,16;;77
01/10/2024;1262;IT015990490942;3;258;24,6;4,32;4,2;19,4;3,4;;77
01/10/2024;1641;IT015990553461;2;88;40,2;4,86;3,07;14,2;2,43;0,04;74
01/10/2024;1839;IT015990581599;1;166;32,9;4,22;3,39;15,2;2,63;0,1;70
01/10/2024;1640;IT015990553460;2;30;42,4;3,23;3,45;16,6;2,7;0,07;69
01/10/2024;410;IT015990315536;6;299;29;3,43;3,17;14,5;2,5;0,03;64
01/10/2024;1229;IT015990490909;4;12;43,5;4;3,13;16,4;2,4;0,03;61
01/10/2024;1493;IT015990520533;3;13;32,4;4,3;3,73;14,3;2,9;0,02;58
01/10/2024;1563;IT015990553383;2;7;27,5;4,3;4,05;14,5;3,2;0,13;51
01/10/2024;1289;IT015990490969;3;203;28,6;4,09;3,59;19,1;2,88;;48
01/10/2024;744;IT015990415674;6;286;30,8;5,05;3,67;12;2,98;0,04;47
